10000
    5627187200	the
    3395006400	of
    2994418400	and
    2595609600	to
    1742063600	in
    1176479700	i
    1107331800	that
    1007824500	was
     879975500	his
     839720500	he
     805811000	it
     772551200	with
     755747700	is
     709798100	for
     703754300	as
     613933600	had
     604890300	you
     574180300	not
     566252700	be
     520250100	her
     511326300	on
     509184100	at
     506105000	by
     458090600	which
     434650000	have
     422828700	or
     410811100	from
     401542500	this
     397199700	him
     389421100	but
     370334200	all
     341584600	she
     334039800	they
     332388400	were
     327769900	my
     322417800	are
     302713400	me
     283256900	one
     282026500	their
     280248100	so
     264141700	an
     263713600	said
     250991700	them
     249165500	we
     247266300	who
     240085800	would
     235765400	been
     232002200	will
